Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26,25.280001,25.469999,25.020000,25.450001,21.477827,10711300
2021-05-27,25.370001,25.600000,25.059999,25.250000,21.309040,20444900
2021-05-28,25.500000,26.760000,25.500000,26.709999,22.541166,47632100
2021-05-31,26.709999,26.860001,26.420000,26.650000,22.490532,20413800
2021-06-01,27.200001,27.480000,26.770000,27.230000,22.980007,29437700
2021-06-02,27.290001,28.590000,27.250000,28.580000,24.119303,44727900
2021-06-04,28.590000,29.290001,28.350000,28.930000,24.414675,42167500
2021-06-07,28.959999,29.129999,28.480000,28.719999,24.237452,39270400
2021-06-08,28.490000,29.559999,28.440001,29.410000,24.819759,51187500
2021-06-09,29.440001,29.940001,29.299999,29.510000,24.904152,26326900
2021-06-10,29.610001,29.879999,29.389999,29.570000,24.954786,18571600
2021-06-11,29.580000,29.700001,29.070000,29.299999,24.726927,15355500
2021-06-14,29.610001,29.990000,29.120001,29.260000,24.693169,17589000
2021-06-15,29.440001,29.580000,29.080000,29.469999,24.870394,11804900
2021-06-16,29.590000,29.790001,29.120001,29.570000,24.954786,27586600
2021-06-17,29.490000,29.650000,28.370001,28.660000,24.186815,17692600
2021-06-18,28.469999,28.760000,28.110001,28.740000,24.254330,20238900
2021-06-21,28.830000,29.450001,28.790001,29.340000,24.760683,9180700
2021-06-22,29.320000,29.580000,28.900000,29.370001,24.786003,14020000
2021-06-23,29.480000,29.879999,29.190001,29.440001,24.845076,11843000
2021-06-24,29.790001,30.010000,29.430000,29.889999,25.224840,13328500
2021-06-25,29.920000,30.160000,29.299999,29.410000,24.819759,18279900
2021-06-28,29.490000,29.559999,29.020000,29.280001,24.710049,11154700
2021-06-29,29.320000,29.760000,29.000000,29.680000,25.047617,18376200
2021-06-30,29.600000,30.490000,29.469999,30.290001,25.562412,38599800
2021-07-01,30.540001,30.840000,29.570000,29.760000,25.115131,14822500
2021-07-02,30.110001,30.110001,29.410000,30.030001,25.342991,10708800
2021-07-05,29.709999,29.980000,29.219999,29.690001,25.056057,9676800
2021-07-06,29.410000,29.650000,28.580000,28.580000,24.119303,26086000
2021-07-07,28.990000,28.990000,28.280001,28.730000,24.245892,15385400
2021-07-08,28.100000,28.549999,28.000000,28.160000,23.764854,13636300
2021-07-12,28.400000,28.600000,28.000000,28.450001,24.009594,12806700
2021-07-13,28.330000,28.680000,28.040001,28.559999,24.102423,8356500
2021-07-14,28.860001,28.990000,28.190001,28.370001,23.942080,15431200
2021-07-15,28.280001,28.389999,27.590000,27.700001,23.376650,14057500
2021-07-16,27.900000,27.959999,26.990000,27.170000,22.929373,13025200
2021-07-19,26.440001,26.930000,26.330000,26.850000,22.659317,15763200
2021-07-20,26.629999,27.570000,26.370001,27.290001,23.030643,13316700
2021-07-21,27.459999,28.000000,27.250000,27.730000,23.401968,12603000
2021-07-22,27.740000,27.950001,27.389999,27.770000,23.435726,6989400
2021-07-23,27.900000,27.920000,27.270000,27.400000,23.123474,7828900
2021-07-26,27.340000,28.040001,27.299999,27.950001,23.587633,10639300
2021-07-27,27.910000,27.990000,27.530001,27.830000,23.486361,7616200
2021-07-28,28.030001,28.440001,27.690001,28.340000,23.916761,12508600
2021-07-29,28.320000,28.420000,28.000000,28.230000,23.823929,6722500
2021-07-30,28.030001,28.250000,27.480000,27.500000,23.207867,16455300
2021-08-02,27.639999,28.219999,27.240000,27.240000,22.988445,18167000
2021-08-03,27.299999,27.700001,26.660000,27.700001,23.376650,14480700
2021-08-04,27.530001,27.590000,26.440001,26.700001,22.532730,21499300
2021-08-05,29.059999,29.900000,28.540001,29.270000,24.701609,56764100
2021-08-06,29.270000,29.389999,28.799999,29.110001,24.566582,14207700
2021-08-09,28.799999,28.950001,28.350000,28.840000,24.338722,16383300
2021-08-10,29.049999,29.490000,28.830000,28.850000,24.347162,13708300
2021-08-11,28.809999,29.600000,28.610001,29.299999,24.726927,13417700
